Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 29 08:51:26,2025 Mar 29 12:44:29,Partial,2025 Mar 29 10:47:58,-147701754.82221276,-22257167.499549355,1996.5207185420923,3.9564964949560912,-29.581306548612265,0.00044403258642090003,-147345907.21774167,-22211411.79385169,7893.75524820702,3.796850410902472,-28.50005455682451,0.09943888593659334,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 21 17:30:06,2025 Sep 21 21:54:18,Partial,2025 Sep 21 19:42:10,150135711.89214873,-3577769.639968766,-552.6936970755929,0.2262896326614063,29.681797747235596,-0.0005739846107215474,149739325.9863977,-3560427.678650765,-6576.527344819111,0.1486894686223176,28.69313153812505,-0.09123346493751873,0.0,0.0,0.0,0.0,0.0,0.0
2026 Feb 17 09:57:29,2026 Feb 17 14:28:57,Annular,2026 Feb 17 12:13:16,-125902233.8407558,77474045.70569058,-3591.553787042754,-16.10253576848488,-25.49284755978064,0.000394623156266938,-125578310.78773457,77266404.11597595,-10504.323574658258,-15.587848035949614,-24.609017912526017,0.0935782620457265,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 12 15:34:37,2026 Aug 12 19:58:26,Total,2026 Aug 12 17:46:29,115429327.61416322,-98259308.65799838,4825.84319376409,18.834215064489108,22.581966896207323,-0.00020832594016228245,115154967.57748225,-98016108.18430874,11260.795356465384,18.09607559170888,21.80589144498479,-0.09646208327624928,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 06 12:59:26,2027 Feb 06 19:03:23,Annular,2027 Feb 06 16:01:26,-108152192.81761232,100332381.29957765,-5024.589709380326,-20.75240854529327,-21.95903002451053,0.0002567207770226608,-107863386.12030901,100051392.58875716,-7857.777553476855,-20.087633697557965,-21.243734835974475,0.0905212598812754,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 02 07:31:20,2027 Aug 02 12:44:10,Total,2027 Aug 02 10:07:45,96480222.77987063,-117228210.2543722,6052.418104536554,22.527432989934187,18.827243982481228,4.557858006790464e-05,96260590.95661117,-116946312.07069096,7884.878765553921,21.66132304199952,18.154439554638312,-0.10137307115957646,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 26 12:09:39,2028 Jan 26 18:11:31,Annular,2028 Jan 26 15:10:34,-85947330.73633659,119618371.9550293,-6284.290763376667,-24.6864117083629,-17.50020340885321,3.060257775340774e-05,-85719196.58419438,119283913.5977896,-4763.021354007067,-23.874948809112116,-16.96548939129221,0.09001923616987309,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 22 00:29:42,2028 Jul 22 05:25:04,Total,2028 Jul 22 02:57:25,74574863.37212129,-132437814.40101634,7086.049922000567,25.484225849007252,14.511603464068383,0.0002399878030707182,74404186.04496124,-132115755.84311368,4099.3891879792345,24.549774778691138,13.976411448917048,-0.09851050793665526,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jan 14 15:04:58,2029 Jan 14 19:25:48,Partial,2029 Jan 14 17:15:20,-60737351.97164688,134034054.03588016,-7287.446729296668,-27.629413288929037,-12.411210744917575,-0.0002712781829130961,-60584040.81376231,133676499.41545692,-1299.3053488945673,-26.684106825774073,-12.050547303990104,0.0923011565333598,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 12 02:28:44,2029 Jun 12 05:47:10,Partial,2029 Jun 12 04:07:59,-23590937.245504435,-150068176.969462,8481.713519029183,28.95580561799989,-4.738954059459475,0.0011997083991431097,-23525149.374705337,-149679911.90081024,17171.624497425837,27.965211216881094,-4.609312198145908,-0.08887989029066598,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jul 11 14:30:59,2029 Jul 11 16:47:05,Partial,2029 Jul 11 15:39:04,50044535.938067615,-143611207.60368428,7916.976059176621,27.657731938682936,9.695942918641657,0.0003973662458375034,49922875.21538103,-143247677.12087664,-733.8227453763121,26.700825267740537,9.325153250439854,-0.08996213941326679,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 05 13:09:17,2029 Dec 05 17:02:15,Partial,2029 Dec 05 15:05:44,42308159.35404369,141219734.7091529,-8101.777612442035,-29.033201939545737,8.442285135842068,-0.0014985777248583967,42198601.61589631,140876480.7197665,-15461.063977524982,-28.003839171656605,8.087318901394628,0.09606317462805433,0.0,0.0,0.0,0.0,0.0,0.0
2030 Jun 01 03:37:45,2030 Jun 01 09:24:28,Annular,2030 Jun 01 06:31:07,-51010406.17443664,-142857603.5515807,8275.757307458878,27.58134058900108,-10.13287850954778,0.0014984451823044993,-50865475.45656439,-142478172.2303564,12719.9520766062,26.674924769652677,-9.793097671476364,-0.08755525748839214,0.0,0.0,0.0,0.0,0.0,0.0
2030 Nov 25 04:20:35,2030 Nov 25 09:27:57,Total,2030 Nov 25 06:54:17,68030746.16312194,131079368.0405887,-7718.887654343042,-26.936575675958302,13.617734409469707,-0.00184540123156679,67857740.53694265,130765970.51594818,-11051.70808508528,-25.97057558832823,13.101558387424078,0.09932901739681894,0.0,0.0,0.0,0.0,0.0,0.0
2031 May 21 04:18:01,2031 May 21 10:19:07,Annular,2031 May 21 07:18:32,-76662146.68481952,-130551039.3587898,7779.199362436721,25.21361786979944,-15.20233076159157,0.0018206682953487954,-76451156.28539754,-130211336.90467751,7469.998812240844,24.39429492127207,-14.657925758164685,-0.08918977118975437,0.0,0.0,0.0,0.0,0.0,0.0
2031 Nov 14 18:28:28,2031 Nov 14 23:54:02,Hybrid,2031 Nov 14 21:11:18,91495447.93864223,116341633.89823884,-7068.892696414218,-23.9103412340744,18.31157729511138,-0.002081698741480982,91257945.2283006,116055466.43332149,-6015.816048129841,-23.069822132730334,17.670718593706024,0.09541520134486003,0.0,0.0,0.0,0.0,0.0,0.0
2032 May 09 11:13:53,2032 May 09 15:44:31,Annular,2032 May 09 13:29:09,-99071610.57492366,-114012158.9546656,7028.1661603161565,22.010712207816294,-19.659504512711887,0.002136154271623406,-98815866.04957666,-113730593.97478415,1812.664972862179,21.275520141218408,-18.93245055341796,-0.09273169907016662,0.0,0.0,0.0,0.0,0.0,0.0
2032 Nov 03 03:29:38,2032 Nov 03 07:49:30,Partial,2032 Nov 03 05:39:37,112164295.79406796,97166467.68689948,-6161.542703474461,-19.997666395747522,22.4135882771471,-0.0022492857313945176,111862266.58473955,96915217.92929193,-64.91353432401544,-19.32569191009696,21.67045551552562,0.08825357416693427,0.0,0.0,0.0,0.0,0.0,0.0
2033 Mar 30 16:03:03,2033 Mar 30 20:07:54,Total,2033 Mar 30 18:05:28,-147204895.94487378,-25671856.94247803,2174.2561106612466,4.635497872046213,-29.470997268070576,0.0028343651771637365,-146851538.5043286,-25617267.71295933,9038.959468165622,4.479220037211578,-28.385787475810222,-0.09617176983456001,0.0,0.0,0.0,0.0,0.0,0.0
2033 Sep 23 11:52:59,2033 Sep 23 16:06:24,Partial,2033 Sep 23 13:59:41,150099382.06178415,1050929.0489497585,-790.2832202069409,-0.6926458767577369,29.689288406657614,-0.002727525880814061,149693856.90974614,1054132.5154988398,-8720.588011264168,-0.7139959449540345,28.71973351206877,0.08468696815842232,0.0,0.0,0.0,0.0,0.0,0.0
2034 Mar 20 07:45:22,2034 Mar 20 13:00:32,Total,2034 Mar 20 10:22:59,-148969181.77723798,1561511.5400207408,698.1502432657759,-0.796678492652237,-29.912283318267097,0.0029054393789781246,-148607678.4935877,1548324.5544584026,3416.1137146400356,-0.7852717268786195,-28.827718441131445,-0.09745458297453156,0.0,0.0,0.0,0.0,0.0,0.0
2034 Sep 12 13:32:43,2034 Sep 12 19:16:22,Annular,2034 Sep 12 16:24:29,148034723.20409375,-27451824.505676087,773.3093701607091,4.950280445438367,29.19071599031039,-0.002787805166737005,147651762.9916084,-27371340.539829344,-2600.739274123919,4.702338114688577,28.216179148885235,0.08935207942303966,0.0,0.0,0.0,0.0,0.0,0.0
2035 Mar 09 20:27:55,2035 Mar 10 01:54:38,Annular,2035 Mar 09 23:11:20,-145673060.92224273,29057597.378546346,-814.8348220099009,-6.313867970916658,-29.337609456013464,0.0028417256467524158,-145302636.02705634,28973831.009195104,-2715.435195275632,-6.131154638864935,-28.318008526110535,-0.09244310201314801,0.0,0.0,0.0,0.0,0.0,0.0
2035 Sep 01 23:21:49,2035 Sep 02 04:41:17,Total,2035 Sep 02 02:01:31,140919600.67530477,-54151115.18403392,2259.5275845147303,10.206458868515018,27.707572831078608,-0.002804839192243702,140577277.53508887,-54009193.64545559,3746.742396377426,9.763910233378137,26.744121869629836,0.09523598658250332,0.0,0.0,0.0,0.0,0.0,0.0
2036 Feb 27 02:57:56,2036 Feb 27 06:51:11,Partial,2036 Feb 27 04:54:36,-137073756.5071101,56165983.55581981,-2328.952622135059,-11.78351908159231,-27.6876005534948,0.002699835817693357,-136706792.4147085,56007974.18449921,-9345.538025130538,-11.423930445988617,-26.770549615455515,-0.08607741963079577,0.0,0.0,0.0,0.0,0.0,0.0
2036 Jul 23 09:35:59,2036 Jul 23 11:36:32,Partial,2036 Jul 23 10:36:16,77675793.460616,-130622279.69589639,7041.275586316249,25.131544765687227,15.121436107611174,-0.0021683065857270364,77495517.25175263,-130313513.37134022,-2274.6515481909837,24.18780894555735,14.563659408892486,0.0950652314256295,0.0,0.0,0.0,0.0,0.0,0.0
2036 Aug 21 15:40:01,2036 Aug 21 19:20:37,Partial,2036 Aug 21 17:30:18,129402728.89943695,-78434057.93529686,3634.8818018437446,14.964000900542658,25.375127783690893,-0.002718494176996743,129100526.51219012,-78242170.44706944,9895.980513904056,14.369763061093625,24.455356793222258,0.09687223255521053,0.0,0.0,0.0,0.0,0.0,0.0
2037 Jan 16 07:49:24,2037 Jan 16 12:06:08,Partial,2037 Jan 16 09:57:44,-64852823.32084937,132109783.84634826,-7179.016074563309,-27.236363732775345,-13.24329805200236,0.0019615952208950887,-64681364.94033464,131746456.20945124,680.1421800179438,-26.33914541810015,-12.85010211893957,-0.08602010383707806,0.0,0.0,0.0,0.0,0.0,0.0
2037 Jul 13 00:21:06,2037 Jul 13 05:10:48,Total,2037 Jul 13 02:46:00,53490775.15529884,-142355272.5344659,7789.18583969273,27.413541782022104,10.371749312472001,-0.0019179647909061094,53368656.04167979,-142006989.7182712,2422.8054472832314,26.42300704237849,9.98268878958659,0.09570110580386045,0.0,0.0,0.0,0.0,0.0,0.0
2038 Jan 05 11:08:20,2038 Jan 05 16:43:36,Annular,2038 Jan 05 13:55:54,-37651819.09048405,142206686.90775698,-7846.046048847103,-29.293795949360273,-7.738227178159044,0.0017368939585576343,-37562850.76913757,141834442.03387633,-4347.473268958181,-28.28414163615195,-7.543575906227147,-0.09233991046438444,0.0,0.0,0.0,0.0,0.0,0.0
2038 Jul 02 10:44:18,2038 Jul 02 16:34:22,Annular,2038 Jul 02 13:39:24,27154009.352726813,-149650187.8773999,8289.650087228669,28.838584148412085,5.209629057665991,-0.0015821156522691964,27094160.661811154,-149265152.27232137,7637.965545689845,27.848450942729404,5.011908937440186,0.09167910880231496,0.0,0.0,0.0,0.0,0.0,0.0
2038 Dec 25 22:29:42,2038 Dec 26 03:47:28,Total,2038 Dec 26 01:08:33,-9884708.847503237,146803090.37094507,-8205.24822345848,-30.219635594267636,-2.1127311774520434,0.001497699008512254,-9870045.332685879,146440006.92567492,-9164.226182561995,-29.139462412073115,-2.098956795882564,-0.09854828650486681,0.0,0.0,0.0,0.0,0.0,0.0
2039 Jun 21 14:46:09,2039 Jun 21 19:56:23,Annular,2039 Jun 21 17:21:17,-744958.3911435283,-152026586.79386142,8515.972327392876,29.316608917763844,-0.2573187036693623,-0.0012250200068138052,-734127.2740446961,-151621843.26728582,13033.84420575104,28.34548103079731,-0.24785087757047458,0.0877661117061368,0.0,0.0,0.0,0.0,0.0,0.0
2039 Dec 15 14:28:19,2039 Dec 15 18:35:08,Total,2039 Dec 15 16:31:44,17738295.420543525,146176439.33636498,-8270.400041196239,-30.07009958607316,3.479130269394763,0.0011839409423427848,17687194.069066443,145823269.86235058,-13602.909093906403,-28.9817992522669,3.3295649555198694,-0.09902108238004911,0.0,0.0,0.0,0.0,0.0,0.0
2040 May 11 02:02:37,2040 May 11 05:41:10,Partial,2040 May 11 03:51:52,-95884054.96043696,-116779480.14868055,7204.830796240328,22.547794683535976,-19.023026536584315,-0.00012431554014446413,-95629229.3837583,-116477402.05317202,-1219.4267418434313,21.812587442216966,-18.35156954119599,0.08830720037996839,0.0,0.0,0.0,0.0,0.0,0.0
