Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z
2025 MAR 29 08:51:28,2025 MAR 29 12:44:30,Partial,2025 MAR 29 10:48:00,-147703115.72364256,-22252791.135082398,2092.831997300498,3.956088184779772,-29.580753198910564,0.0005060903649649617,-147347266.29146567,-22207045.925264128,7990.414542569779,3.7964729423836707,-28.499497763438626,0.09950143584031501,0.0,0.0,0.0,0.0,0.0,0.0,59194528.515434876,762442298.3554224,-4491521.577717245,-13.190292013627158,1.62566742199474,0.2883260021722365
2025 SEP 21 17:30:37,2025 SEP 21 21:54:41,Partial,2025 SEP 21 19:42:36,150140710.4443733,-3580926.1045370167,-520.3446502215229,0.22789045894214935,29.680307067531018,-0.0006650343848662033,149744324.87991005,-3563579.937195008,-6548.435986645985,0.15027920129998149,28.69164204938011,-0.09132487279447332,0.0,0.0,0.0,0.0,0.0,0.0,-141539781.75441727,761120628.0536585,5079.186280012131,-13.010135576985222,-1.7782438474145337,0.29844126814550387
2026 FEB 17 09:56:50,2026 FEB 17 14:28:15,Annular,2026 FEB 17 12:12:36,-125884639.07179102,77504033.47059864,-3863.2566087134182,-16.107802267280245,-25.488897546072934,0.0004828032089836398,-125560759.42221852,77296314.22096923,-10777.760431714356,-15.592916525112399,-24.60519995374893,0.09366839662663118,0.0,0.0,0.0,0.0,0.0,0.0,-304073974.9350323,720727605.6388694,3809293.978544235,-12.201730454902668,-4.4717298909682714,0.2915637983853663
2026 AUG 12 15:34:38,2026 AUG 12 19:58:28,Total,2026 AUG 12 17:46:31,115410659.67778166,-98282625.54014483,5136.787061341107,18.839499669324653,22.57725782102472,-0.000296737210593534,115136350.59298974,-98039372.2038105,11569.746721051633,18.1012040282464,21.801320410895688,-0.09656039830008645,0.0,0.0,0.0,0.0,0.0,0.0,-478288440.82515216,630556540.268264,8081712.677718043,-10.569847419603132,-7.292210124865642,0.266825273563259
