Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z
2025 Mar 29 09:02:43,2025 Mar 29 12:55:22,Partial,2025 Mar 29 09:02:43,-147654119.12184948,-22312073.76190974,1981.1200112881422,3.978235011267311,-29.585806303078215,0.00044356962832815545,-147298298.21437183,-22266161.843233436,7893.414910752839,3.818136486672417,-28.504602130412206,0.09943237361419321,0.0,0.0,0.0,0.0,0.0,0.0,59181190.281702034,762441137.5376217,-4491432.352826306,-13.191095077520867,1.6257380633201233,0.28834740137477327
2025 Sep 21 18:24:42,2025 Sep 21 22:44:15,Partial,2025 Sep 21 18:24:42,150092289.2435051,-3017287.741158911,-553.0810422260153,0.12390827206617282,29.69300004073462,-0.0005746780844793336,149695754.53871593,-3001537.0754123447,-6727.908118474536,0.05042287442049233,28.704220978023592,-0.09115807380453282,0.0,0.0,0.0,0.0,0.0,0.0,-141595238.21950638,761096307.9236144,5796.823813559573,-13.009590563617145,-1.7804092651118506,0.2984377977434506
2026 Feb 17 11:06:46,2026 Feb 17 15:42:41,Annular,2026 Feb 17 11:06:46,-126241417.16279604,76908143.10308187,-3569.151314449087,-15.985531022430768,-25.567703358782992,0.0003968899380661585,-125916707.4256993,76701864.27309243,-10332.303447595825,-15.474422004904248,-24.68158724388917,0.09366976282197453,0.0,0.0,0.0,0.0,0.0,0.0,-304141830.5974615,720664942.6346822,3810118.122795564,-12.200656762526497,-4.475347268112186,0.2915349218819027
2026 Aug 12 17:16:23,2026 Aug 12 21:46:00,Total,2026 Aug 12 18:35:39,116052170.99555686,-97389001.78380264,4770.739888594079,18.687683477952884,22.724940800412337,-0.000218421481882846,115776153.06037469,-97147525.41076948,10981.26606465317,17.954762771163594,21.944327627026382,-0.09661115098120773,0.0,0.0,0.0,0.0,0.0,0.0,-478362162.5339774,630423525.7121574,8082557.216325382,-10.568925988378766,-7.297166985031291,0.266756891864874
2027 Feb 06 15:18:01,2027 Feb 06 21:24:03,Annular,2027 Feb 06 15:18:01,-109040987.75243036,99370325.44316082,-4956.594773546983,-20.555074491370977,-22.14302534860534,0.0002814968339480323,-108749812.91959941,99091891.56212391,-7455.528021930907,-19.89663313441372,-21.421658143297048,0.09061023842970486,0.0,0.0,0.0,0.0,0.0,0.0,-624237755.5845809,499762388.104582,11888780.122567067,-8.323304060779838,-9.602218371280753,0.2260923091754238
2027 Aug 02 10:14:40,2027 Aug 02 15:28:28,Total,2027 Aug 02 11:07:44,97694532.89176282,-116097524.41832164,6009.856409921763,22.333582796457844,19.084210821367417,3.191700267998501e-06,97471882.05165656,-115817991.97827016,7472.507146869286,21.47460439331634,18.402364957367492,-0.10147695973324014,0.0,0.0,0.0,0.0,0.0,0.0,-731453264.8958453,339615443.05361736,14952647.324029457,-5.65650437274985,-11.255067234537416,0.17330260693363442
2028 Jan 26 15:39:30,2028 Jan 26 21:35:59,Annular,2028 Jan 26 15:39:30,-87543564.07014969,118466339.67295541,-6289.072337034169,-24.449933450166736,-17.82574845147815,8.855861893246336e-05,-87310837.6172394,118134925.77004406,-4239.399254544028,-23.646346275360035,-17.279753809714585,0.09000004350439783,0.0,0.0,0.0,0.0,0.0,0.0,-795763530.365196,158993940.21167913,17141707.945065655,-2.711308659873866,-12.218001777003108,0.11141161106234082
2028 Jul 22 04:19:09,2028 Jul 22 09:06:34,Total,2028 Jul 22 05:25:24,76485033.91634677,-131237039.16954492,7213.412179512286,25.278980191765346,14.901010587132562,0.00016691148173673774,76309533.75198287,-130917810.82959081,3693.4211566542554,24.352230622517208,14.351483986832447,-0.09841388667736053,0.0,0.0,0.0,0.0,0.0,0.0,-813900464.3385274,-31206036.15707844,18337623.050350297,0.35208884027836596,-12.4617674047224,0.04389601644964775
2029 Jan 14 19:45:51,2029 Jan 14 23:43:33,Partial,2029 Jan 14 19:45:51,-63127727.73971054,132934213.41995989,-7505.08047013247,-27.40407756983995,-12.896465425729298,-0.00018934392866729155,-62967362.32850178,132579386.09681976,-801.3145644836349,-26.466892755245254,-12.517577202023318,0.09200099124722472,0.0,0.0,0.0,0.0,0.0,0.0,-785436638.4948109,-218705174.42347857,18479785.816093028,3.3586954116715915,-11.992198720283342,-0.02532025372327979
2029 Jun 12 07:01:35,2029 Jun 12 10:51:46,Partial,2029 Jun 12 07:01:35,-20874194.207241647,-150405939.3783924,8994.357137935718,29.04988589463327,-4.207709065838202,0.001175678109497935,-20814509.604703836,-150016921.18829063,17102.03844656681,28.056755825975273,-4.093860724107238,-0.08930668723694327,0.0,0.0,0.0,0.0,0.0,0.0,-726849425.6735216,-367108563.89724034,17785637.74147923,5.746504410435826,-11.06710212381604,-0.08257781075677584
