Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 29 08:51:26,2025 Mar 29 12:44:29,Partial,2025 Mar 29 10:47:59,-147701754.82291013,-22257167.496531323,1996.5209945874892,3.9564964870918695,-29.58130654925353,0.000444032490504479,-147345907.16074225,-22211412.039848797,7893.73280594218,3.796851050253377,-28.500054504757312,0.09943889373428716,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 21 17:30:10,2025 Sep 21 21:54:22,Partial,2025 Sep 21 19:42:13,150135712.79340908,-3577650.9496416505,-552.6993737952033,0.22626607422091838,29.681798312985006,-0.0005739845809811834,149739326.89498624,-3560309.9096960938,-6576.617499295574,0.14866800903187288,28.69313169409298,-0.09123345927589138,0.0,0.0,0.0,0.0,0.0,0.0
2026 Feb 17 09:57:38,2026 Feb 17 14:29:07,Annular,2026 Feb 17 12:13:25,-125902378.71413265,77473816.36572042,-3591.540407909736,-16.10248919944986,-25.492876201472,0.0003946253478708655,-125578455.07969703,77266174.84998214,-10504.280129503017,-15.587802806839878,-24.60904692355989,0.0935781957577542,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 12 15:34:56,2026 Aug 12 19:58:45,Total,2026 Aug 12 17:46:49,115429685.29560457,-98258879.77202709,4825.817769975009,18.834131485460816,22.58203805843818,-0.00020832771628463245,115155325.0460256,-98015679.88656907,11260.707326205522,18.09599306850773,21.805960402777146,-0.09646223111305316,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 06 12:59:58,2027 Feb 06 19:03:55,Annular,2027 Feb 06 16:01:59,-108152856.65661854,100331678.87386045,-5024.548757437127,-20.75226542648515,-21.959162774711622,0.0002567283469231417,-107864048.0852746,100050691.22027884,-7857.541818751143,-20.08749457889822,-21.243865479606683,0.09052119530513862,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 02 07:32:10,2027 Aug 02 12:45:01,Total,2027 Aug 02 10:08:35,96481348.65298033,-117227269.2715472,6052.3626077853905,22.527249958345422,18.827466380510298,4.556805545321022e-05,96261714.16777255,-116945373.05882724,7884.506375114253,21.661146782965222,18.154653049301746,-0.10137316357345648,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 26 12:10:48,2028 Jan 26 18:12:40,Annular,2028 Jan 26 15:11:43,-85949033.47056848,119617164.840243,-6284.220022771125,-24.686165304504815,-17.50054634558449,3.062132338860304e-05,-85720894.31071661,119282709.55926415,-4762.388373101963,-23.874709905708894,-16.965821353442852,0.0900191900133226,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 22 00:31:15,2028 Jul 22 05:26:37,Total,2028 Jul 22 02:58:58,74577232.40686668,-132436465.37707348,7085.96794159865,25.483963548448617,14.512069238075531,0.00023995841252799394,74406549.30673832,-132114409.13418,4098.705314459189,24.549523225726954,13.976861105429125,-0.09851015814839716,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jan 14 15:06:58,2029 Jan 14 19:27:47,Partial,2029 Jan 14 17:17:20,-60740666.20984102,134032565.12996736,-7287.35522537287,-27.629109599681012,-12.411880966145171,-0.0002712387751917113,-60587346.365787394,133675014.33580904,-1298.312579773286,-26.683811062215824,-12.051194386935409,0.09230092045593195,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 12 02:31:07,2029 Jun 12 05:49:37,Partial,2029 Jun 12 04:10:24,-23586798.174047142,-150068854.38959745,8481.738403656806,28.9559333331213,-4.738141311306798,0.0011996655319768432,-23521018.846386228,-149680586.59712136,17170.836249741427,27.965338552765076,-4.608521897126933,-0.08888023195637139,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jul 11 14:33:32,2029 Jul 11 16:49:33,Partial,2029 Jul 11 15:41:35,50048765.92619407,-143609724.71114597,7916.884069172277,27.65744282766174,9.696772412372729,0.00039730602015586997,49927092.31107528,-143246197.46852246,-735.1686217865533,26.700550944018485,9.325950069406977,-0.08996095470724026,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 05 13:12:16,2029 Dec 05 17:05:17,Partial,2029 Dec 05 15:08:45,42302964.486193635,141221245.0555351,-8101.847078352495,-29.03351579954939,8.441237528816632,-0.001498529760294811,42193417.95158845,140877987.50487465,-15460.025790040154,-28.00414033537054,8.086306001711252,0.09606427453978794,0.0,0.0,0.0,0.0,0.0,0.0
