Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 14 03:59:31,2025 Mar 14 09:59:31,Total,2025 Mar 14 06:59:29,-147760078.90571812,16898396.102645785,-179.8913114122654,-3.8671599024705943,-29.696063079994097,0.0027934011426724295,-148157503.13269356,16953391.677161116,3001.944443505014,-4.028543767629944,-30.66338121859509,-0.08736279283087021,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 07 15:29:40,2025 Sep 07 20:53:57,Total,2025 Sep 07 18:11:51,145536906.458359,-39230197.396220304,1444.2788736558323,7.265680331390137,28.639101521451938,-0.002847964052321962,145891629.99857092,-39335606.299373075,-1253.529167660784,7.5281721439909015,29.667772962147296,0.0951619676557677,0.0,0.0,0.0,0.0,0.0,0.0
2026 Mar 03 08:47:08,2026 Mar 03 14:23:12,Total,2026 Mar 03 11:35:06,-141376731.83989334,44763832.03393078,-1726.8482751466463,-9.471961878083253,-28.49949691227667,0.002816583149253467,-141737975.82211763,44888504.985421196,-3168.6469407498953,-9.849356479038484,-29.457393702015448,-0.09226009445575406,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 28 01:26:15,2026 Aug 28 07:01:22,Partial,2026 Aug 28 04:13:52,136317306.78719473,-65228161.15819672,2897.707532497551,12.368732682736606,26.749203104558042,-0.002701885537588484,136665564.15711758,-65405526.00286192,5128.344171136338,12.787274357975827,27.664873602423715,0.08974872823110437,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 20 21:15:35,2027 Feb 21 01:13:16,Penumbral,2027 Feb 20 23:14:24,-130177568.6097208,70247481.58822446,-3167.2816957001546,-14.62445062330491,-26.31599815372597,0.0027663562640166217,-130493255.11416405,70426724.7241488,-9129.395472132606,-15.182813462644273,-27.241803251205948,-0.09597548298877892,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 17 05:29:13,2027 Aug 17 09:03:00,Penumbral,2027 Aug 17 07:16:08,122157330.09477402,-89544862.17942631,4278.556711320741,17.1203681727575,23.905115907837843,-0.002507262626107785,122480157.2893074,-89789584.33000654,11857.8578616249,17.695336745044642,24.687205068755265,0.08497724791254362,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 12 02:11:47,2028 Jan 12 06:19:50,Partial,2028 Jan 12 04:15:50,-52781132.47918334,137326522.04981634,-7534.063300541976,-28.2783776006529,-10.793772092195447,0.0019686463471640108,-52903913.194719106,137665326.35945076,-595.6117984291036,-29.293372513118666,-11.187254301409864,-0.09694597375181874,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 06 15:48:57,2028 Jul 06 20:56:58,Partial,2028 Jul 06 18:22:55,38669562.60041127,-147087545.58565745,8147.302831634988,28.314239385048726,7.460684578791929,-0.0016776281390872183,38761853.43853181,-147470157.10684332,2327.662736920598,29.29471546054772,7.655524933593922,0.08874187662379585,0.0,0.0,0.0,0.0,0.0,0.0
2028 Dec 31 14:08:41,2028 Dec 31 19:42:34,Total,2028 Dec 31 16:55:41,-25723618.549982086,144832586.65893528,-8055.858866298783,-29.80238550720084,-5.318152451550748,0.001634004924070983,-25780405.78310866,145206315.87984192,-5059.880900884627,-30.823396898349806,-5.5189218558060045,-0.09444572792383545,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 26 00:39:53,2029 Jun 26 06:12:42,Total,2029 Jun 26 03:26:14,11557018.322916936,-151618604.42393318,8489.073637191128,29.206195374419842,2.1527203679179236,-0.001465281736297292,11575584.593675995,-151991000.67685515,7634.97188602194,30.260122018345083,2.162580363657094,0.09569339566782484,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 20 19:50:01,2029 Dec 21 01:45:09,Total,2029 Dec 20 22:47:38,2937788.2769810827,147139189.63288146,-8286.938371515178,-30.255873571258654,0.4832932692128916,0.0012500004120267686,2955639.4852776583,147537246.6657424,-9778.150534027474,-31.243583485319817,0.4948138063779524,-0.08993250287746042,0.0,0.0,0.0,0.0,0.0,0.0
2030 Jun 15 16:19:49,2030 Jun 15 20:55:11,Partial,2030 Jun 15 18:37:29,-15224351.003457736,-151186957.0393861,8550.903264577824,29.14210943181587,-3.0941160749176886,-0.0012109481436237176,-15269149.69344752,-151542771.74475878,12538.929779090953,30.224831659425238,-3.2445970583662502,0.09938354318478072,0.0,0.0,0.0,0.0,0.0,0.0
2030 Dec 09 20:18:13,2030 Dec 10 00:52:48,Penumbral,2030 Dec 09 22:35:30,32044906.78045778,143804207.23153928,-8200.819672213922,-29.549216759944333,6.365232584607242,0.0008812384106092317,32141022.76519511,144198891.75392908,-14336.57373145849,-30.489429691004403,6.597112308536043,-0.08756118078197503,0.0,0.0,0.0,0.0,0.0,0.0
