Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 14 04:08:45,2025 Mar 14 10:08:55,Total,2025 Mar 14 06:37:54,-147736552.3501947,16853566.40765942,-141.50935026967682,-3.851365566632355,-29.703604814927406,0.0028262143809732973,-148134019.46593276,16908457.69794777,3029.8689989177806,-4.012455352288267,-30.67090612692423,-0.08732957931299284,-105023735.61778025,22389663.203675684,6367355.678919684,-7.475670050216129,-34.42528367176972,-0.04149523445779515,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 07 16:17:25,2025 Sep 07 21:42:25,Total,2025 Sep 07 18:18:55,145609566.93880048,-38692408.36524465,1532.0070588989827,7.174050988511054,28.67585855710347,-0.0029318634387701823,145964596.36397722,-38796566.79793711,-1042.4526776616735,7.43303524725572,29.705594012341074,0.09511297874884045,-2906208.372379605,107583433.6460158,1645694.7527336497,-35.13088446240854,-1.1391024318821033,2.011422282062739,0.0,0.0,0.0,0.0,0.0,0.0
2026 Mar 03 10:01:04,2026 Mar 03 15:35:45,Total,2026 Mar 03 12:26:54,-141570005.58704084,44107910.9945229,-1837.4892262416652,-9.334302448464015,-28.547108994161576,0.0029107041613674963,-141931929.9432069,44230924.53861334,-3451.634035568673,-9.707077309664262,-29.506513992145848,-0.09213929913650033,104794147.33697122,27654320.56173483,-5666744.066077031,-9.055629243378833,33.70789790952364,0.985605818517465,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 28 03:20:38,2026 Aug 28 08:52:05,Partial,2026 Aug 28 04:32:00,136739717.9075879,-64144707.97231656,3014.463363765035,12.17476692400471,26.8555560877833,-0.00279656840786668,137089239.8854784,-64319273.05918581,5538.036154275385,12.586094286774351,27.774874408700843,0.08959876956862564,55140291.32439428,-93784943.77339427,-4470075.30741037,29.97075631735356,17.62795972596432,-1.487143071971013,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 20 23:36:16,2027 Feb 21 03:24:10,Penumbral,2027 Feb 20 23:36:16,-130810979.62786163,69056545.38795328,-3554.9181887512996,-14.380518411289664,-26.450473989279605,0.002908330220019806,-131128525.51193708,69232724.30997477,-9857.034097692747,-14.929732593815755,-27.381342244583852,-0.0956263848244712,-76953027.2461865,-75953766.5250993,3396537.537923759,24.370577644015086,-25.103206060477632,-1.7511917547248035,0.0,0.0,0.0,0.0,0.0,0.0
2027 Jul 18 18:06:55,2027 Jul 18 19:44:48,Penumbral,2027 Jul 18 18:06:55,66756735.935749084,-136486224.4767197,8282.956383469977,26.280408923790787,12.976555593101542,-0.0019765845451805222,66933560.85594647,-136851585.64031518,-1536.872540160682,27.15592012970391,13.391016259916075,0.0840188722467275,-19124880.42149988,105829913.17219368,2557868.327209171,-34.58266081128112,-6.428087573441761,1.9071329276484816,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 17 08:40:12,2027 Aug 17 11:48:46,Penumbral,2027 Aug 17 08:40:12,123134921.22009312,-88041587.86825691,4782.698878840035,16.847817421667067,24.118900196019553,-0.0026414925670987114,123460944.61822,-88281926.44957945,12867.504052402284,17.4119201119875,24.909080077013996,0.08454417743314076,-91320863.80100335,56347171.54729532,6043676.330294841,-18.529213949945508,-29.99038644682849,0.6570268492834374,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 12 05:22:05,2028 Jan 12 09:41:37,Partial,2028 Jan 12 06:46:37,-54619427.14675819,136608149.17220163,-8318.099745759386,-28.132196578347216,-11.167875842025019,0.002045076314891302,-54746331.48187073,136945314.26443362,-1800.8330766449087,-29.142614950941393,-11.573768213075448,-0.09716296883383663,98522442.5522027,44959066.27664636,-5067046.635300098,-14.647840838022079,31.711066698253934,1.280985965014333,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 06 19:33:22,2028 Jul 07 00:52:34,Partial,2028 Jul 06 20:52:36,40822384.85445573,-146414677.33130094,9079.460221745925,28.214785454646382,7.890613220297766,-0.0017369962157649172,40920061.71992521,-146796209.30545777,3779.3306790487654,29.191753995011183,8.099295423946302,0.08891894594882722,67453732.24875782,-85344719.87651032,-5065113.340548812,27.259794286284663,21.590234549688383,-1.2762092619799421,0.0,0.0,0.0,0.0,0.0,0.0
2028 Dec 31 18:31:34,2029 Jan 01 00:09:04,Total,2028 Dec 31 20:37:31,-28334030.329606432,144343779.8273419,-9000.330249397233,-29.703213348201082,-5.846490319334595,0.001682663066070748,-28397319.57121968,144716148.64039186,-6642.863580344805,-30.721331037639526,-6.065422324044751,-0.09455100138854615,-63073263.82030117,-88002767.87859957,2429929.2246533153,28.237195387582815,-20.57703096772816,-1.912131220483924,0.0,0.0,0.0,0.0,0.0,0.0
