Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 14 03:59:31,2025 Mar 14 09:59:31,Total,2025 Mar 14 06:59:29,-147760078.90578312,16898396.102862097,-179.8912913873995,-3.867159902439432,-29.696063079576465,0.0027934011802476055,-148157503.12731168,16953391.65928427,3001.942815203197,-4.028543770155485,-30.663381252582074,-0.08736279588563127,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 07 15:29:41,2025 Sep 07 20:53:59,Total,2025 Sep 07 18:11:53,145536913.72627997,-39230168.740539275,1444.2775580365987,7.265674684049474,28.639103048812288,-0.0028479636084001118,145891637.34470809,-39335577.97955997,-1253.5586064186023,7.5281671203697496,29.667773902618634,0.09516192706183645,0.0,0.0,0.0,0.0,0.0,0.0
2026 Mar 03 08:47:12,2026 Mar 03 14:23:16,Total,2026 Mar 03 11:35:11,-141376769.74917006,44763717.98667386,-1726.8419424979068,-9.471938855115333,-28.49950419581504,0.0028165840542110866,-141738013.47339594,44888391.160852805,-3168.6148120678713,-9.849334317107525,-29.457401222247874,-0.09226014465575534,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 28 01:26:25,2026 Aug 28 07:01:31,Partial,2026 Aug 28 04:14:01,136317430.5131372,-65227893.56968984,2897.6899631374336,12.368680309415078,26.749228175714375,-0.002701885452391381,136665688.86884323,-65405257.188498154,5128.473324814705,12.78721823467889,27.664899611333837,0.08974862874066704,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 20 21:15:50,2027 Feb 21 01:13:32,Penumbral,2027 Feb 20 23:14:39,-130177788.07636671,70247086.68516207,-3167.257656622037,-14.624370577552687,-26.316041339837067,0.002766358499311905,-130493474.68567052,70426329.33146088,-9129.415827995104,-15.182732029234058,-27.24184790542882,-0.09597550074784318,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 17 05:29:35,2027 Aug 17 09:03:22,Penumbral,2027 Aug 17 07:16:29,122157706.8786823,-89544336.07415788,4278.522679050025,17.120265573843767,23.90519112216416,-0.0025072646633239708,122480535.45122553,-89789056.81487857,11858.009580650321,17.69523049123345,24.68728241858181,0.08497711133581036,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 12 02:12:16,2028 Jan 12 06:20:20,Partial,2028 Jan 12 04:16:19,-52781952.88812814,137326208.89325503,-7534.039173571855,-28.278313841918973,-10.793938000684577,0.001968656070825815,-52904735.30510773,137665012.88521364,-595.7431275691292,-29.293306083975793,-11.187425386796654,-0.09694602324303346,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 06 15:49:35,2028 Jul 06 20:57:36,Partial,2028 Jul 06 18:23:33,38670638.96128677,-147087261.99536416,8147.277633343664,28.314183957651366,7.460895356224603,-0.00167764209206123,38762932.41664818,-147469872.72213206,2327.900354499102,29.294659335900135,7.65574242474372,0.08874205807647007,0.0,0.0,0.0,0.0,0.0,0.0
2028 Dec 31 14:09:31,2028 Dec 31 19:43:24,Total,2028 Dec 31 16:56:31,-25725109.239882592,144832320.6220571,-8055.831002812279,-29.802331921550707,-5.3184542522057745,0.0016340208471678941,-25781900.439242467,145206049.82373545,-5060.225811494024,-30.82333994012227,-5.519234155359041,-0.09444564657625155,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 26 00:40:55,2029 Jun 26 06:13:44,Total,2029 Jun 26 03:27:17,11558829.854144279,-151618470.94228676,8489.051480413595,29.206168316070364,2.1530750551674935,-0.001465303637938044,11577399.898085888,-151990866.75037304,7635.319744963776,30.2600958086994,2.1629462841173175,0.09569354325770793,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 20 19:51:18,2029 Dec 21 01:46:26,Total,2029 Dec 20 22:48:55,2935457.73230559,147139226.828479,-8286.919540195695,-30.255882997347406,0.48282176256620035,0.0012500243789525533,2953302.2089720853,147537284.73494354,-9778.780601685992,-31.24359197946232,0.49432584619985465,-0.08993226022840081,0.0,0.0,0.0,0.0,0.0,0.0
2030 Jun 15 16:21:21,2030 Jun 15 20:56:43,Partial,2030 Jun 15 18:39:01,-15221668.795146124,-151187241.8320954,8550.896787791851,29.142162369793834,-3.0935901992524437,-0.0012109755263622268,-15266461.047300333,-151543057.35921875,12539.541580664743,30.224887704743956,-3.244050745839082,0.09938330666970337,0.0,0.0,0.0,0.0,0.0,0.0
2030 Dec 09 20:20:01,2030 Dec 10 00:54:34,Penumbral,2030 Dec 09 22:37:17,32041714.334294323,143804894.91601583,-8200.829741622476,-29.54936030557673,6.364588366512098,0.0008812705509963947,32137821.23299883,144199581.91275012,-14337.473316768439,-30.489578242318313,6.596446727588553,-0.08756074176932853,0.0,0.0,0.0,0.0,0.0,0.0
2031 May 07 02:01:04,2031 May 07 05:56:13,Penumbral,2031 May 07 03:58:41,-104888880.20817876,-108517411.65788989,6783.328691896605,20.92557143470102,-20.80556476018631,-0.00012634545347292402,-105148109.57591148,-108776405.34506375,-643.4979593097357,21.70769528278568,-21.537909652720117,0.0970785852836984,0.0,0.0,0.0,0.0,0.0,0.0
